name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;504;0;550;3083;1050;3083;1027;0
header;193;148;193;183;1811;183;1811;148
A;994;207;994;234;1015;234;1015;207
B;656;440;656;459;670;459;670;440
A;973;721;973;725;977;725;977;721
B;1000;875;1000;901;1018;901;1018;875
C;997;1538;997;1569;1020;1569;1020;1538
D;1004;2207;1004;2234;1027;2234;1027;2207
D;637;2253;637;2280;670;2280;670;2253
B;679;2625;679;2644;693;2644;693;2625
A;774;2845;774;2863;779;2863;779;2845
A;598;3008;598;3009;600;3009;600;3008
